,h,m
CRR451057,4,8
CRR451058,2,3
CRR451059,3,7
CRR451060,3,4
CRR451061,1,4
CRR451062,1,4
CRR451063,3,4
CRR451064,0,1
CRR451065,1,3
CRR451066,2,5
CRR451067,4,2
CRR451068,3,8
CRR451069,2,3
CRR451070,2,10
CRR451071,4,3
CRR451072,1,3
CRR451073,4,5
CRR451074,3,13
CRR451075,0,0
CRR451076,2,0
CRR451077,0,5
CRR451078,0,2
CRR451079,1,6
CRR451080,2,3
CRR451081,4,10
CRR451082,1,4
CRR451083,1,5
CRR451084,2,6
CRR451085,2,4
CRR451086,1,3
CRR451087,0,1
CRR451088,5,4
CRR451089,7,11
CRR451090,6,7
CRR451091,1,2
CRR451092,0,2
CRR451093,5,8
CRR451094,1,3
CRR451095,1,3
CRR451096,3,9
CRR451097,3,9
CRR451098,3,6
CRR451099,0,0
CRR451100,4,4
CRR451101,0,3
CRR451102,4,8
CRR451103,0,2
CRR451104,1,1
CRR451105,1,5
CRR451106,1,4
CRR451107,1,3
CRR451108,2,3
CRR451109,0,0
CRR451110,0,2
CRR451111,0,2
CRR451112,1,3
CRR451113,1,3
CRR451114,4,9
CRR451115,0,0
CRR451116,5,6
CRR451117,2,3
CRR451118,6,4
CRR451119,2,4
CRR451120,2,2
CRR451121,2,6
CRR451122,0,0
CRR451123,0,0
CRR451124,0,0
CRR451125,0,2
CRR451126,2,3
CRR451127,0,4
CRR451128,3,13
CRR451129,0,0
CRR451130,0,1
CRR451131,1,4
CRR451132,0,5
CRR451133,1,3
CRR451134,3,8
CRR451135,0,0
CRR451136,0,2
CRR451137,3,9
CRR451138,5,4
CRR451139,5,3
CRR451140,7,16
CRR451141,0,0
CRR451142,5,17
CRR451143,5,8
CRR451144,3,14
CRR451145,0,0
CRR451146,7,16
CRR451147,4,16
CRR451148,0,0
CRR451149,0,3
CRR451150,0,4
CRR451151,10,15
CRR451152,0,5
CRR451153,0,1
CRR451154,0,6
CRR451155,3,2
CRR451156,2,2
CRR451157,0,3
CRR451158,0,1
CRR451159,0,0
CRR451160,0,0
